booking_id,customer_id,source,status,checkin,checkout,oyo_rooms,hotel_id,amount,discount,date
2119,57801,3,3,3/2/2017,3/3/2017,1,86,1897,402,3/1/2017
2120,57801,3,3,4/2/2017,4/3/2017,1,161,2280,483,3/31/2017
2121,57801,3,2,3/31/2017,4/1/2017,1,161,1929,408,3/31/2017
2122,57801,3,3,4/1/2017,4/2/2017,1,161,2872,607,3/31/2017
2123,57801,3,2,3/30/2017,3/31/2017,1,161,1819,385,3/30/2017
2124,57801,3,2,3/27/2017,3/28/2017,1,161,1639,347,3/27/2017
2125,98247,4,2,3/27/2017,3/28/2017,1,161,1871,396,3/27/2017
2126,57801,3,2,3/26/2017,3/27/2017,1,161,1993,421,3/26/2017
2127,134930,1,3,3/26/2017,3/31/2017,1,161,9237,1954,3/26/2017
2128,57801,3,2,3/23/2017,3/24/2017,1,161,1923,407,3/22/2017
2129,57801,3,3,3/24/2017,3/25/2017,1,161,2179,461,3/23/2017
2130,31412,3,2,3/23/2017,3/24/2017,1,161,1949,413,3/23/2017
2131,57801,3,2,3/22/2017,3/23/2017,1,161,2181,462,3/21/2017
2132,57801,3,2,3/20/2017,3/21/2017,1,161,2067,438,3/20/2017
2133,57801,3,2,3/19/2017,3/20/2017,1,161,1791,380,3/19/2017
2134,57801,3,3,3/20/2017,3/21/2017,1,161,2198,465,3/19/2017
2135,57801,3,2,3/21/2017,3/22/2017,1,161,2231,472,3/21/2017
2136,57801,3,3,3/21/2017,3/22/2017,1,161,2387,505,3/20/2017
2137,179762,4,2,3/21/2017,3/22/2017,1,471,2079,440,3/20/2017
2138,648,4,2,4/13/2017,4/17/2017,1,248,14815,3761,3/22/2017
2139,87768,3,2,3/28/2017,3/29/2017,1,248,2859,605,3/27/2017
2140,105035,4,2,3/25/2017,3/27/2017,1,248,4807,1018,3/22/2017
2141,117378,3,3,3/24/2017,3/26/2017,1,248,7277,1540,3/3/2017
2142,57757,4,3,6/8/2017,6/11/2017,1,760,8966,1896,3/8/2017
2143,15169,3,3,4/21/2017,4/23/2017,1,760,5047,1068,3/17/2017
2144,15169,3,3,4/21/2017,4/23/2017,1,760,5047,1068,3/17/2017
2145,15169,3,3,4/21/2017,4/23/2017,1,760,5026,1064,3/19/2017
2146,15169,3,3,4/21/2017,4/23/2017,2,760,10052,2126,3/19/2017
2147,139399,4,3,4/12/2017,4/16/2017,1,760,9677,2456,3/31/2017
2148,138286,2,2,3/21/2017,3/22/2017,1,355,2794,591,3/21/2017
2149,39916,3,2,3/21/2017,3/22/2017,1,933,1780,376,3/21/2017
2150,186707,4,2,6/22/2017,6/25/2017,1,385,10721,2268,3/30/2017
2151,173516,4,2,3/11/2017,3/12/2017,1,597,3379,715,3/11/2017
2152,26389,4,2,3/31/2017,4/1/2017,1,154,2014,426,3/31/2017
2153,26389,4,2,3/24/2017,3/25/2017,1,154,2209,468,3/24/2017
2154,26389,4,2,3/13/2017,3/14/2017,1,154,2599,550,3/12/2017
2155,196829,0,2,3/6/2017,3/9/2017,1,154,5066,1114,3/4/2017
2156,26389,4,2,3/17/2017,3/18/2017,1,154,2209,468,3/17/2017
2157,124236,0,2,4/1/2017,4/3/2017,1,84,5067,1114,3/31/2017
2158,169072,4,2,3/28/2017,3/29/2017,1,84,1624,343,3/27/2017
2159,52281,3,2,3/18/2017,3/20/2017,1,84,3637,770,3/18/2017
2160,52281,3,3,3/18/2017,3/19/2017,1,84,2079,440,3/18/2017
2161,52281,3,3,3/18/2017,3/20/2017,1,84,3637,770,3/18/2017
2162,66762,4,2,3/11/2017,3/12/2017,1,84,3314,701,3/9/2017
2163,147466,2,4,3/12/2017,3/13/2017,1,894,2014,426,3/12/2017
2164,82641,0,3,3/10/2017,3/11/2017,2,894,6497,1429,3/10/2017
2165,194199,3,3,3/18/2017,3/19/2017,1,907,2469,523,3/18/2017
2166,196829,4,2,3/26/2017,3/31/2017,1,612,8899,1882,3/24/2017
2167,164004,3,2,3/18/2017,3/19/2017,1,612,2729,578,3/18/2017
2168,55369,4,2,3/8/2017,3/11/2017,1,612,5390,1141,3/5/2017
2169,55369,4,2,3/7/2017,3/8/2017,1,612,2144,453,3/7/2017
2170,47628,4,2,3/18/2017,3/19/2017,1,251,2014,426,3/18/2017
2171,100829,1,2,3/25/2017,3/26/2017,2,975,4287,908,3/14/2017
2172,73181,4,2,3/19/2017,3/20/2017,1,756,1884,398,3/18/2017
