booking_id,customer_id,source,status,checkin,checkout,oyo_rooms,hotel_id,amount,discount,date
1301,191033,4,2,2/10/2017,2/11/2017,1,668,3834,811,2/6/2017
1302,190562,0,3,2/28/2017,3/1/2017,1,716,2599,572,2/28/2017
1303,74653,4,2,2/24/2017,2/25/2017,1,716,3444,875,2/24/2017
1304,9187,0,3,2/17/2017,2/18/2017,1,716,3379,858,2/17/2017
1305,74653,0,2,2/15/2017,2/16/2017,1,716,3184,701,2/15/2017
1306,165419,0,3,2/15/2017,2/16/2017,1,716,3054,672,2/10/2017
1307,153758,3,2,2/13/2017,2/14/2017,1,716,3119,660,2/10/2017
1308,164227,4,3,2/12/2017,2/13/2017,1,716,2794,591,2/12/2017
1309,136094,0,2,2/6/2017,2/7/2017,1,716,4094,1040,2/4/2017
1310,136094,0,3,2/6/2017,2/7/2017,1,716,4094,1040,2/4/2017
1311,14778,4,3,3/3/2017,3/6/2017,1,135,7406,1566,2/27/2017
1312,20597,0,2,2/2/2017,2/5/2017,1,135,8576,1887,2/2/2017
1313,28621,3,3,2/23/2017,2/24/2017,1,146,3466,734,2/21/2017
1314,2562,3,2,2/11/2017,2/12/2017,1,146,3388,860,2/11/2017
1315,6114,4,2,2/8/2017,2/9/2017,1,146,1856,393,2/8/2017
1316,12377,1,3,3/7/2017,3/11/2017,1,25,11565,2446,2/25/2017
1317,14557,0,2,2/25/2017,2/27/2017,1,25,7342,1615,2/24/2017
1318,48802,3,3,2/25/2017,2/26/2017,1,25,3054,646,2/23/2017
1319,14557,0,2,2/24/2017,2/25/2017,1,25,3314,729,2/24/2017
1320,14557,1,3,2/24/2017,2/27/2017,1,25,11954,2529,2/20/2017
1321,184770,4,4,2/14/2017,2/15/2017,1,25,3444,875,2/14/2017
1322,159873,4,3,2/9/2017,2/10/2017,1,25,2469,627,2/9/2017
1323,86273,0,2,2/8/2017,2/9/2017,1,25,2469,543,2/8/2017
1324,142383,0,2,3/8/2017,3/9/2017,3,147,12086,2659,2/16/2017
1325,85699,1,2,2/25/2017,2/26/2017,1,147,4354,921,2/24/2017
1326,172411,4,4,2/5/2017,2/6/2017,1,147,3639,770,2/5/2017
1327,172411,4,2,2/5/2017,2/6/2017,1,147,3639,770,2/5/2017
1328,172411,4,3,2/5/2017,2/7/2017,1,147,7212,1526,2/5/2017
1329,94413,4,2,2/2/2017,2/3/2017,1,147,3184,673,2/1/2017
1330,37622,1,2,2/27/2017,3/1/2017,1,166,8057,1705,2/26/2017
1331,9894,4,2,2/28/2017,3/1/2017,1,49,2989,633,2/21/2017
1332,130164,4,3,2/25/2017,2/26/2017,1,394,4549,963,2/19/2017
1333,46140,0,2,2/27/2017,2/28/2017,1,350,2469,543,2/26/2017
1334,77175,0,2,3/21/2017,3/23/2017,1,366,3557,903,2/21/2017
1335,15447,0,2,2/28/2017,3/1/2017,1,366,1560,343,2/28/2017
1336,182782,4,3,3/1/2017,3/4/2017,1,366,5639,1194,2/27/2017
1337,15447,0,2,2/27/2017,2/28/2017,1,366,1560,396,2/27/2017
1338,15447,0,2,2/28/2017,3/1/2017,1,366,2072,455,2/27/2017
1339,192084,3,3,2/18/2017,2/19/2017,1,366,2847,603,2/17/2017
1340,199611,4,3,2/17/2017,2/18/2017,1,366,2188,556,2/15/2017
1341,73006,4,2,2/17/2017,2/18/2017,1,366,2018,513,2/16/2017
1342,136424,4,2,2/12/2017,2/13/2017,1,366,2566,543,2/12/2017
1343,12114,4,2,2/11/2017,2/12/2017,1,366,2491,527,2/8/2017
1344,136424,4,2,2/11/2017,2/12/2017,2,366,5671,1440,2/11/2017
1345,48657,3,2,2/27/2017,2/28/2017,2,375,2857,605,2/27/2017
1346,19309,0,3,2/6/2017,2/8/2017,1,375,4157,914,2/5/2017
1347,33558,0,2,2/20/2017,2/22/2017,1,960,4360,959,2/17/2017
1348,118645,0,3,2/21/2017,2/22/2017,1,960,1560,343,2/19/2017
1349,192056,0,4,2/25/2017,2/28/2017,1,348,5066,1114,2/12/2017
1350,55452,4,2,2/22/2017,2/24/2017,1,579,4677,990,2/21/2017
1351,30499,1,2,3/7/2017,3/11/2017,1,380,10587,2240,2/14/2017
1352,73006,4,2,2/25/2017,2/26/2017,1,380,2014,426,2/25/2017
1353,50594,0,4,2/24/2017,2/25/2017,1,380,1949,429,2/24/2017
1354,55452,4,3,2/22/2017,2/24/2017,1,380,4417,935,2/18/2017
1355,75341,4,2,2/19/2017,2/21/2017,1,380,3897,825,2/15/2017
1356,58754,4,3,3/20/2017,3/21/2017,1,130,1429,363,2/17/2017
1357,187505,0,2,2/20/2017,2/21/2017,1,396,2599,572,2/20/2017
1358,64143,0,2,2/18/2017,2/19/2017,1,396,3704,815,2/18/2017
1359,195573,4,3,2/23/2017,2/24/2017,1,391,2534,536,2/23/2017
1360,60395,4,2,2/22/2017,2/23/2017,1,564,2534,536,2/20/2017
1361,126821,4,3,2/28/2017,3/1/2017,1,62,2144,453,2/27/2017
1362,126821,4,3,2/27/2017,3/1/2017,1,62,4417,935,2/26/2017
1363,42520,4,2,2/22/2017,2/23/2017,1,62,2144,453,2/22/2017
1364,82104,4,3,2/21/2017,2/22/2017,1,62,1754,371,2/21/2017
1365,50981,4,3,2/16/2017,2/17/2017,1,62,2664,563,2/16/2017
1366,49800,4,3,2/16/2017,2/17/2017,1,62,2209,468,2/16/2017
1367,55384,0,3,3/7/2017,3/9/2017,1,62,6367,1400,2/3/2017
1368,55576,4,2,2/6/2017,2/7/2017,1,62,1949,413,2/6/2017
1369,195179,4,2,2/4/2017,2/6/2017,1,62,4677,990,2/4/2017
1370,33021,3,4,2/11/2017,2/12/2017,1,62,2924,618,2/10/2017
1371,45972,3,2,2/24/2017,2/25/2017,1,437,4419,935,2/24/2017
1372,183351,0,3,2/17/2017,2/19/2017,1,437,8707,1915,2/15/2017
1373,45090,2,2,2/15/2017,2/16/2017,1,551,5654,1196,2/15/2017
1374,61890,4,2,2/21/2017,2/22/2017,1,548,3444,728,2/21/2017
1375,183032,4,3,2/25/2017,2/26/2017,1,233,2794,591,2/17/2017
1376,90112,0,2,2/22/2017,2/24/2017,1,233,5262,1157,2/21/2017
1377,90112,0,2,2/21/2017,2/22/2017,1,233,2534,558,2/20/2017
1378,24154,4,3,2/15/2017,2/16/2017,1,233,2729,693,2/14/2017
1379,34224,4,4,2/14/2017,2/15/2017,1,233,3249,825,2/12/2017
1380,2161,3,3,2/7/2017,2/8/2017,1,233,2859,605,2/6/2017
1381,145528,4,3,2/5/2017,2/6/2017,1,233,2924,618,2/3/2017
1382,38837,3,3,2/5/2017,2/6/2017,1,233,2989,633,2/4/2017
1383,187774,3,2,2/22/2017,2/23/2017,1,701,2859,605,2/22/2017
1384,50471,0,2,2/21/2017,2/22/2017,1,701,3119,686,2/21/2017
1385,25812,3,3,2/5/2017,2/6/2017,1,378,3769,798,2/5/2017
1386,182602,0,2,2/2/2017,2/4/2017,1,378,8034,1768,2/2/2017
1387,14708,0,2,3/1/2017,3/3/2017,1,74,4807,1057,2/28/2017
1388,101051,4,2,2/17/2017,2/18/2017,1,74,2924,618,2/17/2017
1389,77061,3,3,4/8/2017,4/10/2017,1,74,4547,963,2/15/2017
1390,15573,4,3,2/6/2017,2/7/2017,1,74,2404,508,2/6/2017
1391,85431,4,2,2/5/2017,2/6/2017,1,74,2534,536,2/5/2017
1392,193175,1,2,2/2/2017,2/4/2017,1,74,5132,1086,2/2/2017
1393,183557,4,3,2/15/2017,2/16/2017,1,74,2989,759,2/14/2017
1394,193175,1,2,2/13/2017,2/14/2017,1,74,2339,495,2/13/2017
1395,52555,4,2,2/23/2017,2/24/2017,1,116,1689,358,2/23/2017
1396,118827,3,3,2/14/2017,2/15/2017,1,116,2404,508,2/14/2017
1397,73278,4,2,2/7/2017,2/8/2017,1,116,1299,275,2/7/2017
1398,103227,4,3,2/28/2017,3/1/2017,2,116,3117,660,2/28/2017
1399,199981,3,2,2/15/2017,2/16/2017,1,178,2599,,2/15/2017
1400,48403,4,3,2/14/2017,2/15/2017,1,178,2989,633,2/13/2017
1401,7310,3,3,2/23/2017,2/24/2017,2,263,4417,935,2/23/2017
1402,160722,4,2,2/8/2017,2/9/2017,1,263,1624,343,2/8/2017
1403,3510,2,2,2/26/2017,2/27/2017,1,21,2144,453,2/26/2017
1404,5977,3,2,2/24/2017,2/25/2017,1,21,1819,385,2/24/2017
1405,5977,3,2,2/24/2017,2/25/2017,1,21,1819,385,2/24/2017
1406,18261,4,4,2/24/2017,2/25/2017,1,21,2014,426,2/24/2017
1407,69723,4,2,2/12/2017,2/13/2017,1,21,1494,316,2/12/2017
1408,31136,4,2,2/10/2017,2/11/2017,1,21,2664,563,2/9/2017
1409,63907,3,2,2/10/2017,2/11/2017,1,21,2664,563,2/9/2017
1410,175727,4,2,2/6/2017,2/7/2017,1,21,2144,545,2/5/2017
1411,5977,3,2,2/4/2017,2/5/2017,1,21,2989,633,2/4/2017
1412,63082,4,2,2/3/2017,2/4/2017,1,21,2274,481,2/3/2017
1413,94377,0,2,2/3/2017,2/4/2017,1,21,2274,501,2/3/2017
1414,20319,0,2,2/28/2017,3/1/2017,7,29,13056,3465,2/28/2017
1415,155186,4,2,2/27/2017,2/28/2017,1,29,1884,398,2/27/2017
1416,83735,1,2,2/23/2017,2/24/2017,1,29,2209,468,2/21/2017
1417,69202,3,2,2/18/2017,2/19/2017,1,29,2469,523,2/18/2017
1418,155186,4,2,2/15/2017,2/17/2017,1,29,4482,948,2/14/2017
1419,10965,3,3,2/11/2017,2/12/2017,1,29,2534,536,2/10/2017
1420,110810,4,2,2/8/2017,2/9/2017,1,3,1884,398,2/8/2017
1421,61890,0,2,2/1/2017,2/2/2017,1,3,1884,415,2/1/2017
1422,116379,3,2,2/3/2017,2/4/2017,1,3,2274,481,2/3/2017
1423,179876,3,3,2/4/2017,2/5/2017,1,3,3054,646,2/2/2017
1424,61311,3,3,3/4/2017,3/5/2017,1,33,2014,426,2/28/2017
1425,14499,3,2,3/2/2017,3/3/2017,1,33,1429,303,2/28/2017
1426,13951,4,3,3/2/2017,3/4/2017,1,33,3442,728,2/28/2017
1427,35737,0,3,2/24/2017,2/25/2017,1,33,2079,458,2/16/2017
1428,190208,4,2,2/19/2017,2/20/2017,1,33,2079,440,2/19/2017
1429,184876,4,3,2/14/2017,2/15/2017,1,33,2014,426,2/7/2017
1430,7731,4,2,2/7/2017,2/8/2017,1,33,2014,426,2/7/2017
1431,57335,4,2,2/7/2017,2/8/2017,1,33,1689,429,2/7/2017
1432,57335,4,3,2/7/2017,2/8/2017,1,33,1494,380,2/7/2017
1433,44356,4,2,2/4/2017,2/5/2017,1,33,2404,508,2/4/2017
1434,162890,4,2,2/24/2017,2/25/2017,1,33,2014,426,2/23/2017
1435,5633,4,2,2/24/2017,2/25/2017,1,33,1624,413,2/24/2017
1436,179123,3,3,2/10/2017,2/11/2017,1,33,1754,371,2/7/2017
1437,107041,4,2,2/8/2017,2/9/2017,1,33,1884,398,2/8/2017
1438,139383,4,2,2/8/2017,2/9/2017,1,33,1884,398,2/8/2017
1439,61311,3,2,2/13/2017,2/14/2017,1,420,1949,413,2/10/2017
1440,83024,3,3,2/19/2017,2/20/2017,1,305,2144,453,2/19/2017
1441,121536,1,3,2/13/2017,2/14/2017,1,305,1884,398,2/6/2017
1442,88424,4,4,2/3/2017,2/4/2017,1,305,2014,426,2/3/2017
1443,126952,4,3,2/15/2017,2/16/2017,1,37,2404,508,2/15/2017
1444,42287,4,2,2/6/2017,2/7/2017,1,37,2144,453,2/6/2017
1445,154563,1,3,2/25/2017,2/26/2017,2,37,5392,1141,2/24/2017
1446,23689,3,3,2/24/2017,2/26/2017,1,37,4287,908,2/23/2017
1447,10362,4,3,2/22/2017,2/23/2017,1,37,2014,426,2/22/2017
1448,73006,4,4,2/21/2017,2/26/2017,1,37,11369,2405,2/18/2017
1449,73006,4,4,2/20/2017,2/21/2017,1,37,2274,481,2/18/2017
1450,61856,0,2,2/16/2017,2/19/2017,1,37,7340,1615,2/9/2017
1451,187982,0,2,3/2/2017,3/3/2017,1,449,2308,508,2/26/2017
1452,59877,4,3,2/16/2017,2/17/2017,1,449,1958,415,2/16/2017
1453,24749,4,2,2/15/2017,2/16/2017,1,449,2192,464,2/14/2017
1454,12790,1,2,2/9/2017,2/11/2017,1,449,4116,871,2/7/2017
1455,145478,0,2,2/9/2017,2/10/2017,1,449,2192,482,2/9/2017
1456,187982,0,2,2/3/2017,2/4/2017,1,449,2331,513,2/1/2017
1457,199763,0,2,2/7/2017,2/8/2017,1,449,2192,482,2/7/2017
1458,197733,4,2,3/1/2017,3/2/2017,1,13,1819,385,2/28/2017
1459,10362,4,2,2/28/2017,3/1/2017,1,13,1819,385,2/28/2017
1460,141201,4,2,2/27/2017,2/28/2017,1,13,1819,385,2/26/2017
1461,10362,4,2,2/27/2017,2/28/2017,1,13,1819,385,2/27/2017
1462,54218,3,3,2/26/2017,2/27/2017,1,13,2079,440,2/24/2017
1463,197733,4,3,2/26/2017,2/27/2017,1,13,2079,440,2/25/2017
1464,32772,0,3,2/25/2017,2/27/2017,1,13,3507,771,2/19/2017
1465,165031,4,2,2/19/2017,2/20/2017,1,13,1754,371,2/16/2017
1466,54218,3,3,2/18/2017,2/19/2017,1,13,2664,563,2/14/2017
1467,7592,4,3,2/17/2017,2/18/2017,1,13,2079,440,2/16/2017
1468,3424,3,2,2/16/2017,2/17/2017,1,13,2014,426,2/16/2017
1469,165031,4,3,2/19/2017,2/20/2017,1,13,1884,398,2/15/2017
1470,7592,4,2,2/11/2017,2/12/2017,1,13,2339,495,2/11/2017
1471,145478,0,2,2/10/2017,2/11/2017,1,13,1754,386,2/10/2017
1472,6845,4,2,2/9/2017,2/10/2017,1,13,1559,330,2/9/2017
1473,7592,4,2,2/8/2017,2/9/2017,1,13,1819,385,2/7/2017
1474,6845,4,2,2/8/2017,2/9/2017,1,13,1559,330,2/8/2017
1475,7970,4,2,2/8/2017,2/9/2017,1,13,1819,385,2/8/2017
1476,7970,4,4,2/7/2017,2/8/2017,1,13,1494,316,2/7/2017
1477,121442,4,3,2/7/2017,2/8/2017,1,13,1299,330,2/7/2017
1478,8353,4,3,2/7/2017,2/8/2017,1,13,1819,385,2/6/2017
1479,75141,4,2,2/18/2017,2/19/2017,1,207,2274,481,2/14/2017
1480,30453,0,2,2/15/2017,2/17/2017,1,207,3247,824,2/13/2017
1481,179789,1,2,2/12/2017,2/13/2017,1,207,1494,316,2/12/2017
1482,76917,0,2,2/12/2017,2/13/2017,1,207,1754,446,2/4/2017
1483,189815,4,3,2/14/2017,2/15/2017,1,207,1884,398,2/8/2017
1484,30453,4,2,2/9/2017,2/12/2017,1,207,4805,1220,2/3/2017
1485,61856,0,3,2/16/2017,2/19/2017,1,207,5714,1257,2/9/2017
1486,211,3,2,2/5/2017,2/6/2017,1,207,1754,371,2/4/2017
1487,6892,4,2,2/23/2017,2/24/2017,1,629,1949,413,2/22/2017
1488,142556,4,2,2/18/2017,2/19/2017,1,629,2534,536,2/18/2017
1489,20003,1,2,2/15/2017,2/16/2017,1,629,1624,343,2/15/2017
1490,163945,4,2,2/13/2017,2/14/2017,1,629,1819,385,2/13/2017
1491,197333,4,4,2/11/2017,2/12/2017,1,629,2534,536,2/8/2017
1492,98551,4,2,2/11/2017,2/12/2017,1,629,2339,495,2/9/2017
1493,51963,4,2,2/10/2017,2/11/2017,1,629,1819,385,2/10/2017
1494,51963,3,2,2/9/2017,2/10/2017,1,629,1559,330,2/9/2017
1495,82195,4,3,2/11/2017,2/12/2017,1,629,2534,644,2/9/2017
1496,22963,4,3,3/1/2017,3/2/2017,1,440,2404,508,2/28/2017
1497,22963,4,3,2/28/2017,3/1/2017,1,440,2144,453,2/27/2017
1498,2161,3,4,2/14/2017,2/15/2017,1,440,2599,550,2/11/2017
1499,8704,4,3,2/14/2017,2/15/2017,1,440,2599,550,2/14/2017
1500,8704,0,2,2/7/2017,2/8/2017,1,440,2469,543,2/7/2017
1501,134836,4,4,3/4/2017,3/5/2017,1,16,2989,633,2/27/2017
1502,134836,4,3,2/11/2017,2/12/2017,1,16,3379,715,2/8/2017
1503,134836,4,3,2/8/2017,2/9/2017,1,16,2729,578,2/4/2017
1504,58858,4,2,2/27/2017,2/28/2017,1,16,2404,508,2/27/2017
1505,165303,4,3,2/15/2017,2/16/2017,1,16,2664,563,2/14/2017
1506,134836,4,3,2/13/2017,2/14/2017,1,16,2729,578,2/9/2017
1507,10629,4,2,2/24/2017,2/25/2017,1,955,2144,453,2/24/2017
1508,10629,4,4,2/24/2017,2/25/2017,1,955,2144,453,2/24/2017
1509,69975,4,2,2/22/2017,2/23/2017,1,955,1689,358,2/22/2017
1510,41627,3,2,2/13/2017,2/14/2017,1,955,2079,440,2/12/2017
